time,BTC_high,BTC_low,BTC_open,BTC_volumefrom,BTC_volumeto,BTC_close,BTC_conversionType,BTC_conversionSymbol,ETH_high,ETH_low,ETH_open,ETH_volumefrom,ETH_volumeto,ETH_close,ETH_conversionType,ETH_conversionSymbol,BCH_high,BCH_low,BCH_open,BCH_volumefrom,BCH_volumeto,BCH_close,BCH_conversionType,BCH_conversionSymbol,LTC_high,LTC_low,LTC_open,LTC_volumefrom,LTC_volumeto,LTC_close,LTC_conversionType,LTC_conversionSymbol
2018-03-23,8935.88,8307.58,8724.98,109649.39,939997284.45,8934.8,direct,,543.84,506.79,539.89,432407.55,225200086.3,543.83,direct,,1048.05,1024.82,1012.97,68997.59,71203401.55,1031.97,multiply,BTC,169.04,157.05,163.92,461200.91,74392970.56,168.85,direct,
2018-03-24,9036.23,8515.53,8935.51,93296.24,827663165.33,8548.06,direct,,546.01,519.51,543.84,241529.67,129350391.02,520.16,direct,,990.72,968.5,1032.05,58970.89,57516293.15,975.33,multiply,BTC,169.69,158.41,168.85,376763.43,62032422.79,159.05,direct,
2018-03-25,8690.36,8395.85,8548.39,76775.64,657643520.26,8472.84,direct,,535.77,513.63,520.17,213514.32,111462284.91,523.01,direct,,978.61,964.21,974.52,61756.1,60016723.88,971.83,multiply,BTC,163.22,157.61,159.05,281227.7,45066192.6,160.31,direct,
2018-03-26,8521.04,7869.27,8472.56,131859.97,1079038734.78,8152.2,direct,,526.2,467.48,522.97,567723.19,278656813.48,486.25,direct,,939.13,907.34,971.8,124840.14,113984840.4,913.05,multiply,BTC,160.96,142.09,160.31,761859.57,113770581.7,148.28,direct,
2018-03-27,8226.24,7752.3,8152.18,116523.1,930754990.52,7808.48,direct,,491.92,446.42,486.14,712309.54,328179170.99,448.78,direct,,903.44,869.08,913.04,115982.77,101613833.5,876.11,multiply,BTC,149.33,134.75,148.28,711462.72,100360248.03,134.88,direct,
2018-03-28,8117.79,7752.6,7808.42,82590.62,657712114.92,7959.78,direct,,465.2,440.35,448.78,415739.15,187271233.18,445.93,direct,,902.64,856.47,876.1,130247.58,112175493.31,861.25,multiply,BTC,139.79,130.24,134.86,549891.26,73816273.85,131.66,direct,
2018-03-29,7983.77,6927.11,7959.78,185805.88,1379180030.3,7106.62,direct,,448.5,380.35,445.93,1162700.51,472575968.96,383.9,direct,,869.29,696.55,861.16,111162.53,84465419.21,711.13,direct,,132.52,112.65,131.66,1328515.78,159535092.24,114.66,direct,
2018-03-30,7280.27,6595.26,7106.62,229837.79,1584675343.21,6853.76,direct,,411.17,364.99,383.96,1174101.99,450253373.58,393.82,direct,,772.11,675.11,711.13,93871.58,66701444.54,696.93,direct,,126.57,109.61,114.66,1216446.41,142506855.93,118.49,direct,
2018-03-31,7228.4,6806.34,6853.75,129526.48,915400590.57,6943.77,direct,,421.05,389.99,393.83,602304.03,243062846.9,394.07,direct,,719.37,681.18,696.34,134917.01,92324861.26,684.31,multiply,BTC,125.21,115.68,118.49,574385.25,69205423.19,116.32,direct,
2018-04-01,7056.22,6463.54,6943.77,131344.01,889887684.72,6835.84,direct,,399.59,359.22,394.07,626777.44,236013242.51,378.85,direct,,684.27,643.73,684.17,163361.84,105350930.87,644.89,multiply,BTC,118.37,110.03,116.32,542812.69,61953932.36,115.11,direct,
2018-04-02,8218.66,6792.3,6835.58,106513.22,748861435.14,7074.6,direct,,394.12,375.8,378.85,406593.03,156793473.63,384.68,direct,,683.26,661.76,644.94,145266.43,96398436.88,663.6,multiply,BTC,121.72,114.41,115.11,464495.42,55199053.21,119.26,direct,
2018-04-03,7528.97,7039.88,7074.65,122807.02,905326798.64,7434.3,direct,,426.84,380.71,384.68,556809.37,223508235.85,415.93,direct,,724.84,693.99,663.6,142027.57,100888910.11,710.35,multiply,BTC,137.4,118.47,119.26,735594.82,94696369.91,134.23,direct,
2018-04-04,7442.42,6727.09,7434.3,123910.33,877199782.17,6815.5,direct,,417.11,370.66,415.93,575977.98,223170178.92,378.65,direct,,654.42,636.5,710.35,142077.55,92194655.7,648.9,multiply,BTC,134.93,115.58,134.23,914247.67,111839267.2,118.36,direct,
2018-04-05,6933.66,6602.38,6815.5,114426.84,777145174.76,6790.45,direct,,387.56,367.15,378.65,424333.64,160332018.27,381.36,direct,,652.63,631.31,648.84,122139.4,78500957.91,642.72,multiply,BTC,122.69,113.89,118.36,631240.26,74831516.09,118.76,direct,
2018-04-06,6869.53,6526.67,6790.45,90749.16,605651287.47,6634.86,direct,,385.78,363.51,381.43,360272.94,133748822.09,370.35,direct,,628.25,606.49,642.78,122967.78,75133837.1,611.0,multiply,BTC,120.47,112.12,118.76,447353.25,51417781.31,113.18,direct,
2018-04-07,7083.85,6624.47,6634.86,81312.77,564883141.53,6917.2,direct,,397.1,369.66,370.35,281003.74,108165642.16,384.98,direct,,644.61,631.47,611.0,143700.91,92114715.3,641.02,multiply,BTC,119.85,112.97,113.19,412014.22,48395805.69,116.2,direct,
2018-04-08,7132.03,6911.02,6917.2,60386.23,425825572.09,7049.92,direct,,404.22,384.98,384.98,272088.6,107956653.97,400.72,direct,,658.82,652.61,640.95,120202.78,78903274.6,656.42,multiply,BTC,118.65,115.58,116.2,303794.67,35572589.05,117.87,direct,
2018-04-09,7204.28,6633.69,7049.92,130534.03,901883664.92,6789.53,direct,,431.23,387.98,400.72,669097.01,271803047.82,399.02,direct,,649.15,631.77,656.42,123243.57,78706202.04,638.62,multiply,BTC,123.21,112.95,117.88,620233.27,72718908.24,115.02,direct,
2018-04-10,6922.84,6676.72,6789.53,62035.53,424510977.27,6871.07,direct,,418.27,391.84,399.02,320480.46,129335600.11,415.65,direct,,657.42,645.06,638.62,103410.6,67480123.53,652.55,multiply,BTC,115.46,111.79,115.02,370482.87,42165656.22,114.41,direct,
2018-04-11,6999.37,6839.16,6871.07,64802.3,450141340.22,6977.13,direct,,433.44,410.97,415.65,398311.12,167561896.24,430.42,direct,,670.57,655.15,652.55,115112.94,77191510.29,670.57,multiply,BTC,119.93,113.3,114.41,381933.5,44183675.7,118.4,direct,
2018-04-12,8051.95,6791.33,6977.04,197276.82,1490759969.77,7927.73,direct,,498.08,414.03,430.39,985900.0,450834363.9,493.95,direct,,740.82,658.67,670.06,84689.75,59525564.71,737.84,direct,,130.91,113.27,118.32,1443755.65,175105506.77,129.71,direct,
2018-04-13,8237.16,7758.8,7927.73,145665.26,1171435820.59,7899.11,direct,,528.95,482.1,493.95,930496.63,470945268.74,494.96,direct,,762.19,733.59,737.2,136521.54,101391042.19,742.67,multiply,BTC,133.67,124.07,129.71,1032414.15,133115960.25,125.57,direct,
2018-04-14,8195.34,7841.19,7898.74,66678.63,537286381.88,8022.51,direct,,514.66,487.72,494.96,381076.96,191073028.98,502.79,direct,,754.76,732.21,742.64,86443.72,64009644.63,740.48,multiply,BTC,129.76,124.43,125.57,357701.97,45425829.14,126.53,direct,
2018-04-15,8437.03,8021.04,8022.51,68822.07,570527804.56,8376.73,direct,,534.31,502.79,502.79,469221.99,243926045.87,534.15,direct,,792.1,769.91,740.48,126006.74,98955416.17,785.32,multiply,BTC,132.92,126.53,126.55,420816.43,54928885.16,132.7,direct,
